generation,individual,x0,x1
0,0,1.06916,-0.901081
0,1,1.22255,0.607642
0,2,-0.248497,4.73696
0,3,1.46321,1.93941
0,4,-1.62892,4.22786
0,5,0.363895,4.89179
0,6,0.777338,1.79611
0,7,4.12093,4.76854
0,8,1.37517,1.09215
0,9,-1.70012,4.48115
0,10,1.5589,2.90212
0,11,2.58185,4.63621
0,12,1.58823,-1.17215
0,13,-0.149897,0.200628
0,14,-1.63614,-1.64467
0,15,2.05298,1.32775
0,16,0.698894,4.30437
0,17,4.35751,1.07319
0,18,2.49134,4.02976
0,19,-0.0162063,4.69223
0,20,2.59028,1.58984
0,21,-1.6824,2.4626
0,22,0.902271,2.69827
0,23,-1.59899,1.94548
0,24,-1.42869,2.39855
0,25,-1.26035,2.30216
0,26,3.604,-1.46085
0,27,2.84354,3.67909
0,28,4.52022,4.73843
0,29,4.668,1.47137
0,30,-1.02488,3.08335
0,31,0.453174,0.53727
0,32,-1.02978,-0.920397
0,33,3.22138,-0.833839
0,34,-1.45764,1.97331
0,35,-1.80164,3.11088
0,36,1.15236,1.56439
0,37,2.79484,-0.466008
0,38,0.652698,4.7805
0,39,-0.265471,4.96525
0,40,-0.569935,-0.280098
0,41,2.57356,3.68585
0,42,3.20359,-1.57849
0,43,-0.712256,-0.574734
0,44,2.5335,4.35677
0,45,2.41609,0.660294
0,46,3.17274,0.43131
0,47,-1.9786,-0.177968
0,48,-1.4159,3.98459
0,49,1.70445,1.01207
0,50,-0.17546,4.09545
0,51,4.85379,1.72998
0,52,-0.44349,3.49587
0,53,4.12079,-1.31439
0,54,-1.44191,0.806
0,55,-1.85571,-1.15577
0,56,1.2732,-1.4037
0,57,-1.23316,0.0213602
0,58,3.67515,3.22615
0,59,-0.0170749,-0.265833
0,60,4.20996,2.47568
0,61,1.93858,4.20457
0,62,4.92965,3.67879
0,63,-0.298635,-1.1883
0,64,3.58836,4.70296
0,65,3.80947,2.63226
0,66,2.56401,1.90212
0,67,-0.235843,1.58132
0,68,1.84755,-1.79979
0,69,0.825069,4.56049
0,70,-1.23218,-0.980875
0,71,3.72885,3.78066
0,72,4.28119,-0.622489
0,73,3.39855,2.77385
0,74,2.56604,2.26648
0,75,3.97737,-0.120826
0,76,0.964278,3.70633
0,77,4.68558,-0.49184
0,78,0.353194,-0.676663
0,79,-1.03632,-0.259332
0,80,3.56021,4.06533
0,81,0.0525818,-0.415551
0,82,-0.63743,2.38479
0,83,4.34029,-1.14844
0,84,-1.21938,-0.89413
0,85,4.84161,-1.88918
0,86,-1.91115,4.22784
0,87,-1.35415,3.5727
0,88,4.4723,4.03934
0,89,0.93711,-0.289623
0,90,3.33785,4.30838
0,91,3.73244,3.74075
0,92,1.97618,4.91376
0,93,-0.729606,2.95625
0,94,-0.708767,3.82431
0,95,-0.638803,4.14927
0,96,3.50432,4.02104
0,97,-0.143799,0.803028
0,98,-0.0272728,3.41651
0,99,0.474264,-1.41978
0,100,0.868184,-1.94565
0,101,-1.04153,3.6936
0,102,0.662824,4.25166
0,103,4.09156,0.583575
0,104,2.44513,4.49263
0,105,1.67962,0.232739
0,106,2.00335,2.35943
0,107,-0.0749507,3.36329
0,108,3.81536,0.221004
0,109,2.61394,4.14925
0,110,3.60687,3.07789
0,111,2.76074,1.84797
0,112,0.86425,-1.60079
0,113,2.30723,4.37515
0,114,0.296014,2.17402
0,115,-1.32278,2.18494
0,116,-0.273315,2.48214
0,117,2.57438,1.87394
0,118,-0.672156,1.58936
0,119,-0.448651,0.35184
0,120,1.579,4.84866
0,121,3.22413,-0.907818
0,122,-0.939602,-0.837889
0,123,1.00412,4.53639
0,124,4.57103,2.30016
0,125,-1.59424,4.30787
0,126,-1.23816,1.37911
0,127,2.16325,-0.292327
0,128,1.04496,-1.85097
0,129,-1.60526,-0.83555
0,130,2.51963,2.96751
0,131,1.53375,2.9242
0,132,-0.534952,-0.533133
0,133,4.93839,3.5961
0,134,4.56796,4.1876
0,135,-0.894919,3.67714
0,136,-0.652339,3.78287
0,137,4.83284,4.85202
0,138,-0.997822,4.34608
0,139,-1.57756,-0.405152
0,140,-0.72976,-0.755113
0,141,1.56406,1.71815
0,142,-0.0464708,3.55445
0,143,0.477571,-0.922344
0,144,2.78207,2.33893
0,145,4.66929,3.68358
0,146,2.73934,2.2947
0,147,-0.371963,4.48274
0,148,4.47685,-0.0124177
0,149,4.30663,-1.06597
0,150,0.754016,-0.0495196
0,151,-0.757271,-0.0749231
0,152,-1.0263,3.09637
0,153,3.27571,-0.367531
0,154,1.75619,1.66888
0,155,-0.479047,4.03919
0,156,-1.32062,2.18195
0,157,1.74202,-1.29233
0,158,0.70623,-1.31378
0,159,4.15841,1.21956
0,160,3.93623,0.817184
0,161,2.46662,-1.88459
0,162,0.87704,1.87379
0,163,-1.24274,3.08402
0,164,1.7307,2.32104
0,165,3.75128,4.76192
0,166,3.43365,-0.636082
0,167,-0.372156,1.32389
0,168,-1.00529,-1.90342
0,169,1.16151,4.2576
0,170,0.450015,-1.49214
0,171,-0.39554,4.46113
0,172,2.52387,4.12782
0,173,3.52409,-0.0348277
0,174,4.18706,-0.77272
0,175,-0.41645,0.879672
0,176,3.55511,4.59464
0,177,-1.61523,3.84119
0,178,-0.690029,-1.31031
0,179,3.42913,1.7898
0,180,-1.04808,-0.907038
0,181,3.4643,4.08717
0,182,1.18242,-0.194248
0,183,4.5585,2.39238
0,184,2.08308,-1.26586
0,185,-1.71213,4.87845
0,186,-1.98172,-1.46943
0,187,1.73301,-0.468078
0,188,2.19389,-1.56303
0,189,0.697859,1.79273
0,190,2.55597,-0.0206982
0,191,4.42833,-0.372406
0,192,-1.70981,2.30196
0,193,4.25475,4.01842
0,194,4.51163,-0.165401
0,195,-1.42546,3.87629
0,196,4.44976,4.42252
0,197,1.7231,3.2204
0,198,3.69039,3.09542
0,199,-1.56755,4.51377
0,200,-0.946444,4.93726
0,201,4.25961,1.45343
0,202,2.89487,2.01108
0,203,0.646307,-1.91543
0,204,1.96562,1.92282
0,205,1.07602,-0.0782901
0,206,3.80193,4.52037
0,207,2.6508,1.23634
0,208,4.13049,0.00833239
0,209,3.96504,4.64096
0,210,-0.966931,2.77713
0,211,-0.859667,3.71675
0,212,2.34111,4.32909
0,213,2.04889,0.741049
0,214,2.29752,3.00339
0,215,0.78534,3.90685
0,216,2.71874,-1.34239
0,217,2.8387,1.67685
0,218,0.595758,4.48011
0,219,-1.99364,1.68779
0,220,4.64468,4.50364
0,221,4.74186,-1.13143
0,222,0.950747,1.13651
0,223,2.98141,1.4832
0,224,-0.605167,1.98572
0,225,4.12396,2.58878
0,226,3.24417,2.28749
0,227,1.19201,-1.94299
0,228,2.72948,2.36177
0,229,4.76142,2.05385
0,230,-1.8136,4.11576
0,231,3.35022,1.9331
0,232,4.31946,-0.590656
0,233,1.1602,3.90919
0,234,3.53697,4.16995
0,235,4.81497,1.06427
0,236,0.0315226,-1.426
0,237,-1.97337,0.525995
0,238,-1.89087,1.86363
0,239,-0.65393,3.76328
0,240,1.87112,-1.48533
0,241,-1.51233,0.523794
0,242,0.808336,1.11434
0,243,-0.354349,2.29801
0,244,-0.62701,-1.41353
0,245,-0.867668,1.00165
0,246,3.09642,1.03072
0,247,3.49238,4.56757
0,248,0.332409,3.41474
0,249,-0.318085,4.54916
0,250,0.989621,1.27303
0,251,-1.88908,1.54451
0,252,-0.153995,2.95619
0,253,3.21165,0.0704177
0,254,2.0094,3.50845
0,255,2.83831,4.94388
0,256,0.354361,3.78101
0,257,3.5138,-0.933785
0,258,-0.96759,4.27608
0,259,-1.409,-1.10321
0,260,1.54845,0.911924
0,261,-0.647476,4.49997
0,262,3.02975,-1.06919
0,263,-1.36772,4.96207
0,264,-0.358453,2.54709
0,265,3.95583,-1.6676
0,266,1.52519,4.49817
0,267,4.74081,4.94664
0,268,-1.20803,3.35558
0,269,0.35659,4.31964
0,270,2.70133,-1.42843
0,271,4.01054,-0.377788
0,272,1.55332,3.0386
0,273,1.60719,0.419817
0,274,1.44397,3.53807
0,275,1.43437,0.262475
0,276,2.34406,1.20896
0,277,1.26137,-0.877014
0,278,0.184978,-1.47129
0,279,3.12712,3.21102
0,280,4.99356,4.43146
0,281,2.44366,4.52869
0,282,-0.5094,4.27966
0,283,-1.26155,-0.992099
0,284,2.80313,-1.30764
0,285,3.87973,2.89764
0,286,3.77359,2.60229
0,287,0.758166,-1.96238
0,288,4.26133,1.45197
0,289,-1.84283,2.8796
0,290,4.18647,4.10333
0,291,-0.715836,1.49565
0,292,4.58255,4.23132
0,293,1.95371,-0.672812
0,294,-0.576903,0.738922
0,295,2.13058,-0.63349
0,296,1.50087,-0.711753
0,297,-0.168962,2.14925
0,298,0.935504,-1.45856
0,299,3.52495,0.713473
0,300,4.8945,-0.826976
0,301,-0.55364,2.8477
0,302,0.954513,-0.377468
0,303,0.985582,-0.633027
0,304,4.50868,-1.35111
0,305,2.86247,4.62627
0,306,2.19271,3.15122
0,307,2.46192,0.275056
0,308,3.38701,-0.257917
0,309,4.15409,3.3511
0,310,2.12081,0.990013
0,311,3.30254,4.91306
0,312,2.68437,0.448156
0,313,1.16407,3.82006
0,314,2.46486,3.47222
0,315,2.68049,4.04621
0,316,3.21459,2.28701
0,317,0.979837,0.439578
0,318,1.50465,1.02169
0,319,2.72699,4.61373
0,320,4.58503,-1.55164
0,321,0.777053,3.69713
0,322,0.234413,4.89328
0,323,2.32124,1.2801
0,324,4.85762,2.182
0,325,1.88277,1.68727
0,326,-1.18261,0.036004
0,327,-0.0494916,0.7693
0,328,0.902683,3.90133
0,329,3.31398,-0.94452
0,330,-0.441532,-1.38481
0,331,4.38099,-0.384805
0,332,-1.97382,1.82552
0,333,1.18632,2.59266
0,334,0.983239,-1.20739
0,335,2.74289,0.605227
0,336,1.23697,4.99837
0,337,1.05429,3.69508
0,338,-1.16636,-1.05223
0,339,-0.558761,4.71923
0,340,-0.7596,1.01221
0,341,-0.820322,4.21895
0,342,4.89167,-0.00210895
0,343,-0.00429911,3.57933
0,344,0.384691,3.81821
0,345,-1.87272,0.0288251
0,346,-1.44729,1.59418
0,347,2.4378,-1.77218
0,348,3.70192,1.61691
0,349,-1.55297,1.90997
0,350,1.89527,4.34697
0,351,-0.790475,0.268086
0,352,4.49908,4.95402
0,353,3.66814,3.6557
0,354,4.42118,-1.03003
0,355,2.24668,3.3408
0,356,3.66552,3.38534
0,357,0.250218,-1.68206
0,358,3.89511,4.2922
0,359,0.855991,-1.6338
0,360,2.38472,-0.660288
0,361,-1.12315,-1.78917
0,362,1.58369,0.982679
0,363,-1.23236,0.53475
0,364,4.06072,4.80824
0,365,1.31011,1.33892
0,366,0.90096,3.03226
0,367,0.744991,0.565846
0,368,3.63359,3.68952
0,369,-1.55577,0.768151
0,370,3.11261,-1.36913
0,371,0.564268,1.32155
0,372,4.20694,0.798367
0,373,1.11882,-1.8625
0,374,1.23809,-0.868096
0,375,0.654284,-1.57018
0,376,3.81136,-0.630027
0,377,3.12801,1.07225
0,378,4.52831,-1.46731
0,379,2.33607,0.899747
0,380,2.64466,-0.705747
0,381,3.15856,-0.48781
0,382,0.0745396,1.8922
0,383,4.88109,0.777836
0,384,-1.7595,3.13279
0,385,-0.959204,1.88091
0,386,4.80845,3.54384
0,387,3.88973,-0.414218
0,388,-1.09959,4.53411
0,389,0.759172,1.77437
0,390,0.277153,4.59991
0,391,3.82937,3.91822
0,392,-1.5957,1.87706
0,393,0.676163,3.52208
0,394,0.484027,4.72645
0,395,0.472873,0.985281
0,396,4.09991,-0.327194
0,397,0.156774,-1.407
0,398,3.47002,4.76332
0,399,-1.33826,-1.29628
0,400,4.0876,0.324039
0,401,0.858854,-1.7171
0,402,-0.893843,1.47849
0,403,4.48025,0.0956986
0,404,-1.17544,-0.563373
0,405,3.2574,1.38972
0,406,2.40327,4.09831
0,407,3.73575,-1.63357
0,408,0.526029,0.895861
0,409,0.337587,2.84785
0,410,3.03712,0.108447
0,411,0.0434975,2.32553
0,412,4.9905,3.90214
0,413,-0.277873,2.63288
0,414,2.20532,3.99203
0,415,0.301417,3.52992
0,416,2.5182,-0.1675
0,417,2.30749,0.139154
0,418,-1.00548,-1.30807
0,419,1.01682,1.54655
0,420,4.99876,1.31414
0,421,0.894573,-0.356725
0,422,4.71388,-0.13081
0,423,1.27315,1.52111
