# N,BestEnergy,KnownMin,Gap,GapPercent,Hit,Time_s
2,-1.000000,-1.000000,0.000000,0.0000,1,0.102
3,-3.000000,-3.000000,0.000000,0.0000,1,0.346
4,-6.000000,-6.000000,0.000000,0.0000,1,0.614
5,-9.103852,-9.103852,-0.000000,-0.0000,1,0.640
6,-12.712062,-12.712062,-0.000000,-0.0000,1,0.728
7,-16.505384,-16.505384,-0.000000,-0.0000,1,0.820
8,-19.821489,-19.821489,-0.000000,-0.0000,1,0.932
9,-24.113360,-24.113360,-0.000000,-0.0000,1,1.218
10,-28.422532,-28.422532,0.000000,0.0000,1,1.517
11,-32.765970,-32.765970,-0.000000,-0.0000,1,1.984
12,-37.967600,-37.967600,0.000000,0.0000,1,2.520
13,-44.326801,-44.326801,-0.000000,-0.0000,1,2.335
14,-47.845157,-47.845157,0.000000,0.0000,1,2.695
15,-52.322627,-52.322627,-0.000000,-0.0000,1,3.499
16,-56.815742,-56.815742,0.000000,0.0000,1,3.361
17,-61.317995,-61.317995,0.000000,0.0000,1,3.773
18,-66.530949,-66.530949,-0.000000,-0.0000,1,3.845
19,-72.659782,-72.659782,-0.000000,-0.0000,1,4.152
20,-77.177043,-77.177043,0.000000,0.0000,1,4.456
21,-81.684571,-81.684571,-0.000000,-0.0000,1,4.837
22,-86.809782,-86.809782,-0.000000,-0.0000,1,5.036
23,-92.844472,-92.844472,-0.000000,-0.0000,1,5.258
24,-97.348815,-97.348815,-0.000000,-0.0000,1,5.720
25,-102.372663,-102.372663,-0.000000,-0.0000,1,6.101
26,-108.315616,-108.315616,-0.000000,-0.0000,1,6.433
27,-112.873584,-112.873584,-0.000000,-0.0000,1,6.850
28,-117.822402,-117.822402,0.000000,0.0000,1,7.277
29,-123.587371,-123.587371,-0.000000,-0.0000,1,7.732
30,-128.286571,-128.286571,0.000000,0.0000,1,8.237
31,-133.586422,-133.586422,0.000000,0.0000,1,8.756
32,-139.635524,-139.635524,0.000000,0.0000,1,9.338
33,-144.842719,-144.842719,0.000000,0.0000,1,13.985
34,-150.044528,-150.044528,-0.000000,-0.0000,1,14.387
35,-155.756643,-155.756643,-0.000000,-0.0000,1,14.549
36,-161.825363,-161.825363,0.000000,0.0000,1,15.063
37,-167.033672,-167.033672,-0.000000,-0.0000,1,15.535
38,-173.928427,-173.928427,0.000000,0.0000,1,16.064
39,-180.033185,-180.033185,-0.000000,-0.0000,1,16.520
40,-185.249839,-185.249839,0.000000,0.0000,1,17.112
41,-190.536277,-190.536277,-0.000000,-0.0000,1,17.775
42,-196.277534,-196.277534,0.000000,0.0000,1,18.018
43,-202.364664,-202.364664,0.000000,0.0000,1,18.885
44,-207.688727,-207.688728,0.000000,0.0000,1,19.304
45,-213.784862,-213.784862,-0.000000,-0.0000,1,19.932
46,-220.680330,-220.680330,0.000000,0.0000,1,20.336
47,-226.012256,-226.012256,-0.000000,-0.0000,1,20.889
48,-232.199529,-232.199529,-0.000000,-0.0000,1,22.458
49,-239.091864,-239.091864,-0.000000,-0.0000,1,22.318
50,-244.549926,-244.549926,-0.000000,-0.0000,1,23.736
51,-251.253964,-251.253964,0.000000,0.0000,1,24.723
52,-258.229991,-258.229991,-0.000000,-0.0000,1,25.680
53,-265.203016,-265.203016,-0.000000,-0.0000,1,27.341
54,-272.208631,-272.208631,0.000000,0.0000,1,28.257
55,-279.248470,-279.248470,-0.000000,-0.0000,1,30.377
56,-283.643105,-283.643105,-0.000000,-0.0000,1,30.018
57,-288.342625,-288.342625,0.000000,0.0000,1,31.403
58,-294.378148,-294.378148,0.000000,0.0000,1,31.818
59,-299.738070,-299.738070,0.000000,0.0000,1,32.142
60,-305.875475,-305.875476,0.000000,0.0000,1,33.227
61,-312.008896,-312.008896,-0.000000,-0.0000,1,33.470
62,-317.353901,-317.353901,0.000000,0.0000,1,34.756
63,-323.489734,-323.489734,0.000000,0.0000,1,34.619
64,-329.620147,-329.620147,-0.000000,-0.0000,1,35.749
65,-334.971532,-334.971532,-0.000000,-0.0000,1,49.428
66,-341.110599,-341.110599,-0.000000,-0.0000,1,50.552
67,-347.252007,-347.252007,0.000000,0.0000,1,52.127
68,-353.394542,-353.394542,-0.000000,-0.0000,1,53.494
69,-359.845598,-359.882566,0.036968,0.0103,0,55.084
70,-366.892251,-366.892251,-0.000000,-0.0000,1,56.592
71,-373.349661,-373.349661,0.000000,0.0000,1,58.276
72,-378.637253,-378.637253,-0.000000,-0.0000,1,60.417
73,-384.789377,-384.789377,0.000000,0.0000,1,61.410
74,-390.908500,-390.908500,0.000000,0.0000,1,62.922
75,-396.282249,-397.492331,1.210082,0.3044,0,64.528
76,-402.368613,-402.894866,0.526252,0.1306,0,65.535
77,-408.518265,-409.083517,0.565252,0.1382,0,67.583
78,-414.527130,-414.794401,0.267271,0.0644,0,68.878
79,-421.810897,-421.810897,-0.000000,-0.0000,1,70.621
80,-428.083564,-428.083564,-0.000000,-0.0000,1,72.784
81,-434.343643,-434.343643,0.000000,0.0000,1,74.096
82,-439.872832,-440.550425,0.677593,0.1538,0,76.063
83,-446.924094,-446.924094,-0.000000,-0.0000,1,78.063
84,-452.657215,-452.657214,-0.000000,-0.0000,1,78.616
85,-458.338586,-459.055799,0.717213,0.1562,0,81.200
86,-465.237869,-465.384493,0.146624,0.0315,0,82.702
87,-472.098164,-472.098165,0.000000,0.0000,1,85.092
88,-478.099316,-479.032630,0.933314,0.1948,0,86.270
89,-485.314793,-486.053911,0.739118,0.1521,0,88.647
90,-491.785693,-492.433908,0.648215,0.1316,0,90.618
91,-498.811060,-498.811060,-0.000000,-0.0000,1,92.448
92,-503.495148,-505.185309,1.690161,0.3346,0,94.123
93,-510.246103,-510.877688,0.631585,0.1236,0,96.214
94,-515.675091,-517.264131,1.589040,0.3072,0,97.866
95,-522.739403,-523.640211,0.900808,0.1720,0,101.260
96,-528.997198,-529.879146,0.881948,0.1664,0,102.881
97,-536.681383,-536.681383,-0.000000,-0.0000,1,114.622
98,-541.221716,-543.665361,2.443645,0.4495,0,117.262
99,-549.536242,-550.666526,1.130284,0.2053,0,119.061
100,-555.909342,-557.039820,1.130478,0.2029,0,121.112
101,-561.202958,-563.411308,2.208350,0.3920,0,123.001
102,-568.356353,-569.363652,1.007299,0.1769,0,126.019
103,-573.660799,-575.766131,2.105332,0.3657,0,127.151
104,-580.951809,-582.086642,1.134833,0.1950,0,127.945
105,-586.262962,-588.266501,2.003539,0.3406,0,130.813
106,-592.935527,-595.061072,2.125545,0.3572,0,133.759
107,-599.469862,-602.007110,2.537248,0.4215,0,136.717
108,-606.862743,-609.033011,2.170268,0.3563,0,138.522
109,-613.722027,-615.411166,1.689139,0.2745,0,140.950
110,-620.216636,-621.788224,1.571588,0.2528,0,143.545
111,-625.375781,-628.068416,2.692635,0.4287,0,145.455
112,-633.642296,-634.874626,1.232330,0.1941,0,147.334
113,-640.666579,-641.794704,1.128125,0.1758,0,149.852
114,-646.097950,-648.833100,2.735150,0.4215,0,153.036
115,-651.607285,-655.756307,4.149022,0.6327,0,155.809
116,-658.617747,-662.809353,4.191606,0.6324,0,157.777
117,-664.743638,-668.282701,3.539063,0.5296,0,160.740
118,-670.310195,-674.769635,4.459440,0.6609,0,162.827
119,-677.075136,-681.419158,4.344022,0.6375,0,165.529
120,-685.328267,-687.021982,1.693715,0.2465,0,167.470
121,-691.511541,-693.819577,2.308036,0.3327,0,170.082
122,-697.925083,-700.939379,3.014296,0.4300,0,172.274
123,-704.013609,-707.802109,3.788500,0.5352,0,176.864
124,-710.907642,-714.920896,4.013254,0.5614,0,179.476
125,-718.293709,-721.303235,3.009526,0.4172,0,181.287
126,-724.488591,-727.349853,2.861262,0.3934,0,185.450
127,-731.063652,-734.479629,3.415977,0.4651,0,185.785
128,-737.878524,-741.332100,3.453576,0.4659,0,189.628
129,-742.807381,-748.460647,5.653266,0.7553,0,265.265
130,-750.417832,-755.271073,4.853241,0.6426,0,271.333
131,-759.827316,-762.441558,2.614242,0.3429,0,274.123
132,-764.873163,-768.042203,3.169040,0.4126,0,277.413
133,-770.716083,-775.023203,4.307120,0.5557,0,281.992
134,-777.915721,-782.206157,4.290436,0.5485,0,284.501
135,-785.469641,-790.278120,4.808479,0.6085,0,288.273
