# N,Walkers,NTemps,NEnsembles,Iterations,BestEnergy,KnownMin,Gap,GapPercent,Hit,Time_s
69,2046,11,186,500,-359.882566,-359.882566,0.000000,0.0000,1,177.734
69,2046,11,186,2000,-359.882566,-359.882566,0.000000,0.0000,1,702.404
69,8190,13,630,500,-359.882566,-359.882566,0.000000,0.0000,1,570.404
69,8190,13,630,2000,-359.882566,-359.882566,0.000000,0.0000,1,2248.169
75,2046,11,186,500,-396.282249,-397.492331,1.210082,0.3044,0,206.667
75,2046,11,186,2000,-396.282249,-397.492331,1.210082,0.3044,0,818.302
75,8190,13,630,500,-396.282249,-397.492331,1.210082,0.3044,0,662.774
75,8190,13,630,2000,-397.492331,-397.492331,0.000000,0.0000,1,2609.557
76,2046,11,186,500,-402.384580,-402.894866,0.510286,0.1267,0,211.883
76,2046,11,186,2000,-402.894866,-402.894866,0.000000,0.0000,1,837.609
76,8190,13,630,500,-402.894866,-402.894866,0.000000,0.0000,1,677.926
76,8190,13,630,2000,-402.894866,-402.894866,0.000000,0.0000,1,2674.067
77,2046,11,186,500,-408.518265,-409.083517,0.565252,0.1382,0,216.887
77,2046,11,186,2000,-408.518265,-409.083517,0.565252,0.1382,0,859.294
77,8190,13,630,500,-408.518265,-409.083517,0.565252,0.1382,0,694.113
77,8190,13,630,2000,-409.083517,-409.083517,-0.000000,-0.0000,1,2740.198
78,2046,11,186,500,-414.794401,-414.794401,-0.000000,-0.0000,1,222.858
78,2046,11,186,2000,-414.794401,-414.794401,-0.000000,-0.0000,1,879.190
78,8190,13,630,500,-414.794401,-414.794401,-0.000000,-0.0000,1,711.456
78,8190,13,630,2000,-414.794401,-414.794401,-0.000000,-0.0000,1,2802.818
82,2046,11,186,500,-440.550425,-440.550425,0.000000,0.0000,1,244.071
82,2046,11,186,2000,-440.550425,-440.550425,0.000000,0.0000,1,967.579
82,8190,13,630,500,-440.550425,-440.550425,0.000000,0.0000,1,780.799
82,8190,13,630,2000,-440.550425,-440.550425,0.000000,0.0000,1,3082.042
85,2046,11,186,500,-459.055799,-459.055799,0.000000,0.0000,1,260.587
85,2046,11,186,2000,-459.055799,-459.055799,0.000000,0.0000,1,1034.293
85,8190,13,630,500,-459.055799,-459.055799,0.000000,0.0000,1,833.706
85,8190,13,630,2000,-459.055799,-459.055799,0.000000,0.0000,1,3293.645
86,2046,11,186,500,-465.384493,-465.384493,0.000000,0.0000,1,267.210
86,2046,11,186,2000,-465.384493,-465.384493,0.000000,0.0000,1,1058.039
86,8190,13,630,500,-465.384493,-465.384493,0.000000,0.0000,1,852.650
86,8190,13,630,2000,-465.384493,-465.384493,0.000000,0.0000,1,3365.740
88,2046,11,186,500,-479.032630,-479.032630,0.000000,0.0000,1,278.156
88,2046,11,186,2000,-479.032630,-479.032630,0.000000,0.0000,1,1103.659
88,8190,13,630,500,-479.032630,-479.032630,0.000000,0.0000,1,889.357
88,8190,13,630,2000,-479.032630,-479.032630,0.000000,0.0000,1,3512.913
89,2046,11,186,500,-485.413997,-486.053911,0.639914,0.1317,0,284.252
89,2046,11,186,2000,-486.053911,-486.053911,0.000000,0.0000,1,1128.227
89,8190,13,630,500,-486.053911,-486.053911,0.000000,0.0000,1,908.240
89,8190,13,630,2000,-486.053911,-486.053911,0.000000,0.0000,1,3583.549
90,2046,11,186,500,-492.433908,-492.433908,-0.000000,-0.0000,1,290.455
90,2046,11,186,2000,-492.433908,-492.433908,-0.000000,-0.0000,1,1148.749
90,8190,13,630,500,-492.433908,-492.433908,-0.000000,-0.0000,1,926.990
90,8190,13,630,2000,-492.433908,-492.433908,-0.000000,-0.0000,1,3659.959
92,2046,11,186,500,-505.185309,-505.185309,-0.000000,-0.0000,1,302.826
92,2046,11,186,2000,-505.185309,-505.185309,-0.000000,-0.0000,1,1196.808
92,8190,13,630,500,-505.185309,-505.185309,-0.000000,-0.0000,1,965.001
92,8190,13,630,2000,-505.185309,-505.185309,-0.000000,-0.0000,1,3806.536
93,2046,11,186,500,-510.877688,-510.877688,0.000000,0.0000,1,309.356
93,2046,11,186,2000,-510.877688,-510.877688,0.000000,0.0000,1,1223.649
93,8190,13,630,500,-510.877688,-510.877688,0.000000,0.0000,1,984.137
93,8190,13,630,2000,-510.877688,-510.877688,0.000000,0.0000,1,3882.801
94,2046,11,186,500,-517.256756,-517.264131,0.007375,0.0014,0,314.370
94,2046,11,186,2000,-517.264131,-517.264131,-0.000000,-0.0000,1,1246.199
94,8190,13,630,500,-517.264131,-517.264131,-0.000000,-0.0000,1,1003.365
94,8190,13,630,2000,-517.264131,-517.264131,-0.000000,-0.0000,1,3957.789
95,2046,11,186,500,-523.640211,-523.640211,-0.000000,-0.0000,1,321.411
95,2046,11,186,2000,-523.640211,-523.640211,-0.000000,-0.0000,1,1269.446
95,8190,13,630,500,-523.640211,-523.640211,-0.000000,-0.0000,1,1022.419
95,8190,13,630,2000,-523.640211,-523.640211,-0.000000,-0.0000,1,4034.100
96,2046,11,186,500,-529.313484,-529.879146,0.565662,0.1068,0,327.039
96,2046,11,186,2000,-529.879146,-529.879146,-0.000000,-0.0000,1,1294.070
96,8190,13,630,500,-529.879146,-529.879146,-0.000000,-0.0000,1,1039.505
96,8190,13,630,2000,-529.879146,-529.879146,-0.000000,-0.0000,1,4093.312
98,2046,11,186,500,-543.642957,-543.665361,0.022404,0.0041,0,375.023
98,2046,11,186,2000,-543.642957,-543.665361,0.022404,0.0041,0,1477.895
98,8190,13,630,500,-543.642957,-543.665361,0.022404,0.0041,0,1199.124
98,8190,13,630,2000,-543.665361,-543.665361,0.000000,0.0000,1,4716.351
99,2046,11,186,500,-549.865226,-550.666526,0.801300,0.1455,0,381.677
99,2046,11,186,2000,-550.666526,-550.666526,0.000000,0.0000,1,1506.450
99,8190,13,630,500,-550.666526,-550.666526,0.000000,0.0000,1,1220.083
99,8190,13,630,2000,-550.666526,-550.666526,0.000000,0.0000,1,4798.012
100,2046,11,186,500,-557.039820,-557.039820,0.000000,0.0000,1,388.620
100,2046,11,186,2000,-557.039820,-557.039820,0.000000,0.0000,1,1534.134
100,8190,13,630,500,-557.039820,-557.039820,0.000000,0.0000,1,1242.719
100,8190,13,630,2000,-557.039820,-557.039820,0.000000,0.0000,1,4884.553
101,2046,11,186,500,-562.516727,-563.411308,0.894581,0.1588,0,396.063
101,2046,11,186,2000,-563.411308,-563.411308,0.000000,0.0000,1,1563.371
101,8190,13,630,500,-563.411308,-563.411308,0.000000,0.0000,1,1265.041
101,8190,13,630,2000,-563.411308,-563.411308,0.000000,0.0000,1,4966.896
111,2046,11,186,500,-627.072587,-628.068416,0.995829,0.1586,0,468.747
111,2046,11,186,2000,-628.068416,-628.068416,0.000000,0.0000,1,1853.795
111,8190,13,630,500,-627.500421,-628.068416,0.567995,0.0904,0,1495.270
111,8190,13,630,2000,-628.068416,-628.068416,0.000000,0.0000,1,5865.296
121,2046,11,186,500,-692.862583,-693.819577,0.956994,0.1379,0,547.747
121,2046,11,186,2000,-693.806355,-693.819577,0.013222,0.0019,0,2159.145
121,8190,13,630,500,-693.735492,-693.819577,0.084085,0.0121,0,1736.366
121,8190,13,630,2000,-693.819577,-693.819577,-0.000000,-0.0000,1,6817.789
131,2046,11,186,500,-759.763138,-762.441558,2.678420,0.3513,0,906.584
131,2046,11,186,2000,-760.871943,-762.441558,1.569615,0.2059,0,3576.636
131,8190,13,630,500,-760.628732,-762.441558,1.812826,0.2378,0,3102.485
131,8190,13,630,2000,-760.870787,-762.441558,1.570771,0.2060,0,12196.072
141,2046,11,186,500,-829.106690,-833.358586,4.251896,0.5102,0,1028.713
141,2046,11,186,2000,-833.355251,-833.358586,0.003335,0.0004,0,4062.452
141,8190,13,630,500,-833.348273,-833.358586,0.010313,0.0012,0,3511.895
141,8190,13,630,2000,-833.358586,-833.358586,0.000000,0.0000,1,13809.349
150,2046,11,186,500,-886.915494,-893.310258,6.394764,0.7159,0,1151.402
150,2046,11,186,2000,-890.734681,-893.310258,2.575577,0.2883,0,4539.111
150,8190,13,630,500,-890.285940,-893.310258,3.024318,0.3386,0,3992.448
150,8190,13,630,2000,-893.310258,-893.310258,0.000000,0.0000,1,15666.805
