# N,Walkers,NTemps,NEnsembles,Iterations,BestEnergy,KnownMin,Gap,GapPercent,Hit,Time_s
69,2046,11,186,500,-359.882566,-359.882566,0.000000,0.0000,1,177.734
69,2046,11,186,2000,-359.882566,-359.882566,0.000000,0.0000,1,702.404
69,8190,13,630,500,-359.882566,-359.882566,0.000000,0.0000,1,570.404
69,8190,13,630,2000,-359.882566,-359.882566,0.000000,0.0000,1,2248.169
75,2046,11,186,500,-396.282249,-397.492331,1.210082,0.3044,0,206.667
75,2046,11,186,2000,-396.282249,-397.492331,1.210082,0.3044,0,818.302
75,8190,13,630,500,-396.282249,-397.492331,1.210082,0.3044,0,662.774
75,8190,13,630,2000,-397.492331,-397.492331,0.000000,0.0000,1,2609.557
76,2046,11,186,500,-402.384580,-402.894866,0.510286,0.1267,0,211.883
76,2046,11,186,2000,-402.894866,-402.894866,0.000000,0.0000,1,837.609
76,8190,13,630,500,-402.894866,-402.894866,0.000000,0.0000,1,677.926
76,8190,13,630,2000,-402.894866,-402.894866,0.000000,0.0000,1,2674.067
77,2046,11,186,500,-408.518265,-409.083517,0.565252,0.1382,0,216.887
77,2046,11,186,2000,-408.518265,-409.083517,0.565252,0.1382,0,859.294
77,8190,13,630,500,-408.518265,-409.083517,0.565252,0.1382,0,694.113
77,8190,13,630,2000,-409.083517,-409.083517,-0.000000,-0.0000,1,2740.198
78,2046,11,186,500,-414.794401,-414.794401,-0.000000,-0.0000,1,222.858
78,2046,11,186,2000,-414.794401,-414.794401,-0.000000,-0.0000,1,879.190
78,8190,13,630,500,-414.794401,-414.794401,-0.000000,-0.0000,1,711.456
78,8190,13,630,2000,-414.794401,-414.794401,-0.000000,-0.0000,1,2802.818
